Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary
2020-05-04 00:00:00 UTC,Apple Inc Files Prospectus Supplement Related To A Potential Four-Part Notes Offering,AAPL,https://www.benzinga.com/news/20/05/15943243/apple-inc-files-prospectus-supplement-related-to-a-potential-four-part-notes-offering,Benzinga Newsdesk,,,,,,
2020-05-02 00:00:00 UTC,Tim Cook On Warren Buffett: 'I Don't Think There's A Better Teacher',AAPL,https://www.benzinga.com/news/19/05/13672277/tim-cook-on-warren-buffett-i-dont-think-theres-a-better-teacher,Elizabeth Balboa,,,,,,
2020-05-01 00:00:00 UTC,VirnetX Shares Dip; Hearing Judge Has Ordered Retrial Regarding Damages In VirnetX vs Apple VPN On Demand Lawsuit,AAPL,https://www.benzinga.com/news/20/05/15937024/virnetx-shares-dip-hearing-judge-has-ordered-retrial-regarding-damages-in-virnetx-vs-apple-vpn-on-de,Benzinga Newsdesk,,,,,,
2020-05-01 00:00:00 UTC,10 Biggest Price Target Changes For Friday,AAPL,https://www.benzinga.com/analyst-ratings/price-target/20/05/15932476/10-biggest-price-target-changes-for-friday,Lisa Levin,,,,,,
2020-05-01 00:00:00 UTC,32 Stocks Moving in Friday's Pre-Market Session,AAPL,https://www.benzinga.com/news/20/05/15931190/32-stocks-moving-in-fridays-pre-market-session,Lisa Levin,,,,,,
2020-05-01 00:00:00 UTC,Hearing JP Morgan Added Apple Shares To Its Bullish 'Focus List',AAPL,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/15930886/hearing-jp-morgan-added-apple-shares-to-its-bullish-focus-list,Benzinga Newsdesk,,,,,,
2020-05-01 00:00:00 UTC,A Peek Into The Markets: US Stock Futures Point To A Lower Open,AAPL,https://www.benzinga.com/news/earnings/20/05/15930560/a-peek-into-the-markets-us-stock-futures-point-to-a-lower-open,Lisa Levin,,,,,,
2020-05-01 00:00:00 UTC,Apple Increased Smartphone Market Share In China In Q1 During Pandemic: Report,AAPL,https://www.benzinga.com/news/earnings/20/05/15930229/apple-increased-smartphone-market-share-in-china-in-q1-during-pandemic-report,Neer Varshney,,,,,,
2020-04-30 00:00:00 UTC,TikTok Considers Launching Reality TV Show,AAPL,https://www.benzinga.com/news/20/05/15930078/tiktok-considers-launching-reality-tv-show,Shivdeep Dhaliwal,,,,,,
2020-04-30 00:00:00 UTC,Apple CEO Tim Cook: Store Traffic Not Back To Pre-COVID-19 Levels In China,AAPL,https://www.benzinga.com/news/earnings/20/04/15928842/apple-ceo-tim-cook-store-traffic-not-back-to-pre-covid-19-levels-in-china,Benzinga Newsdesk,,,,,,
2020-04-30 00:00:00 UTC,Apple CFO Says Advertising Also To Be Affected By June Quarter,AAPL,https://www.benzinga.com/news/20/04/15928821/apple-cfo-says-advertising-also-to-be-affected-by-june-quarter,Benzinga Newsdesk,,,,,,
2020-04-30 00:00:00 UTC,Apple CFO Says Apple Care And Advertising Will Be Affected In June Quarter,AAPL,https://www.benzinga.com/news/earnings/20/04/15928817/apple-cfo-says-apple-care-will-be-affected-in-june-quarter,Benzinga Newsdesk,,,,,,
2020-04-30 00:00:00 UTC,Apple CEO Tim Cook Sees Remote Work Sector Accelerating,AAPL,https://www.benzinga.com/news/earnings/20/04/15928781/apple-ceo-tim-cook-sees-remote-work-sector-accelerating,Benzinga Newsdesk,,,,,,
2020-04-30 00:00:00 UTC,Apple CEO: Our Products Are Even More Important In 'These Times',AAPL,https://www.benzinga.com/news/earnings/20/04/15928770/apple-ceo-our-products-are-even-more-important-in-these-times,Benzinga Newsdesk,,,,,,
